Nombre: asdf
Apellido: sadf
Cedula: 123
Fecha de nacimiento: 2/2/2000
Edad: 21
Localización: 44
Telefono: 44
Sueldo: 44
Correo: asadf@espe.edu.ec
Vencimiento		Pago		Interes		Amortizacion		Saldo
2/2/2000		0		0		0		1234
2/3/2000		47.9852		12.34		35.6452		1198.35
3/4/2000		47.9852		11.9835		36.0016		1162.35
3/5/2000		47.9852		11.6235		36.3617		1125.99
5/6/2000		47.9852		11.2599		36.7253		1089.27
5/7/2000		47.9852		10.8927		37.0925		1052.17
7/8/2000		47.9852		10.5217		37.4634		1014.71
7/9/2000		47.9852		10.1471		37.8381		976.872
9/10/2000		47.9852		9.76872		38.2165		938.656
9/11/2000		47.9852		9.38656		38.5986		900.057
11/12/2000		47.9852		9.00057		38.9846		861.073
11/1/2001		47.9852		8.61073		39.3745		821.698
12/2/2001		47.9852		8.21698		39.7682		781.93
12/3/2001		47.9852		7.8193		40.1659		741.764
12/4/2001		47.9852		7.41764		40.5675		701.197
14/5/2001		47.9852		7.01197		40.9732		660.223
14/6/2001		47.9852		6.60223		41.3829		618.84
16/7/2001		47.9852		6.1884		41.7968		577.044
16/8/2001		47.9852		5.77044		42.2147		534.829
17/9/2001		47.9852		5.34829		42.6369		492.192
17/10/2001		47.9852		4.92192		43.0633		449.129
19/11/2001		47.9852		4.49129		43.4939		405.635
19/12/2001		47.9852		4.05635		43.9288		361.706
21/1/2002		47.9852		3.61706		44.3681		317.338


